пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
3709;55608262;Пичугов Ю.С., Еремеева А.П., Купалова А.Ю.;Бабайцева Пичугов Русский язык 8кл. Практика ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-09-088242-2;16; ;2019;ФП;ФГОС;482.9;;482.9
3710;65681354;Пичугов Ю.С., Еремеева А.П., Купалова А.Ю.;Бабайцева Пичугов Русский язык 8кл. Практика ВЕРТИКАЛЬ ФГОС (ДРОФА);Просвещение; ;16; ;2022;ФП;ФГОС;603.9;;603.9
3711;55630426;Пичугов Ю.С., Еремеева А.П., Купалова А.Ю.;Бабайцева Пичугов Русский язык 9кл. Практика ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-09-088232-3;14; ;2022;ФП;ФГОС;603.9;;603.9
3712;55596727;Бабайцева В.В., Чеснокова Л.Д.;Бабайцева Русский язык Теория 5-9, учебник ВЕРТИКАЛЬ. (ФГОС) ( ДРОФА );Дрофа;978-5-09-090014-0;14; ;2021-2022;ФП;ФГОС;677.1;;677.1
3713;55603564;Бабайцева В.В.;Бабайцева Русский язык. 10-11кл учебник. (углубл.ур). ВЕРТИКАЛЬ (ДРОФА);Провещение;978-5-09-088263-7;10; ;2021-2022;ФП;ФГОС;731;;731
3714;55613383;Львов В.В.;Разумовская Русский язык 5 кл. Контрольные и проверочные работы. ВЕРТИКАЛЬ (ФГОС) (ДРОФА);Дрофа;978-5-358-22417-9;20; ;2019; ;ФГОС;107.2;;107.2
3715;65652299;Разумовская М.М.,Львова С.И.,Капинос В.И. и др.;Разумовская Русский язык 5 кл. Учебник. В 2-х частях. Часть 1(ДРОФА);Дрофа;978-5-09-088243-9;18; ;2022;ФП;ФГОС;409.2;;409.2
3716;65652300;Разумовская М.М.,Львова С.И.,Капинос В.И. и др.;Разумовская Русский язык 5 кл. Учебник. В 2-х частях. Часть 2(ДРОФА);Дрофа;978-5-09-088245-3;18; ;2022;ФП;ФГОС;409.2;;409.2
3717;55622987;Львов В.В.;Разумовская Русский язык 6 кл. Контрольные и проверочные работы. ВЕРТИКАЛЬ (ФГОС) (ДРОФА);Дрофа;978-5-358-19042-9;20; ;2017; ;ФГОС;80.4;;80.4
3718;55560580;Львов В.В.;Разумовская Русский язык 6 кл. Тетр./оц.кач.знаний ВЕРТИКАЛЬ (ФГОС) (ДРОФА);Дрофа;978-5-358-18989-8;80; ;2017; ;ФГОС;73.8;;73.8
