пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
461;55635702;Босова Л.Л., Босова А.Ю.;Босова Информатика 10 кл. Учебник. Базовый уровень (Бином);Бином;978-5-9963-4453-6;14; ;2019-2020;ФП;ФГОС;846.5;;846.5
462;65684877;Босова Л.Л., Босова А.Ю.;Босова Информатика 10 кл. Учебник. Базовый уровень (Бином);Просвещение;978-5-09-087402-1;14;55635702;2022;ФП;ФГОС;920.2;;920.2
463;55623147;Босова Л.Л., Босова А.Ю.;Босова Информатика 10 кл. Учебное пособие. Базовый уровень (Бином);Бином;978-5-9963-3141-3;14; ;2018; ;ФГОС;340.83;;340.83
464;55635429;Босова Л.Л., Босова А.Ю.;Босова Информатика 11 кл. Учебник. Базовый уровень.  (Бином);Бином;978-5-09-087403-8;10; ;2022;ФП;ФГОС;920.2;;920.2
465;65658706;Босова Л.Л., Босова А.Ю.;Босова Информатика 5 кл.  Р/т В 2-х ч.  Ч.1 (Бином);Просвещение;978-5-09-091053-8;40;55617648;2021-2022; ;ФГОС;173.8;;165.2
466;65658707;Босова Л.Л., Босова А.Ю.;Босова Информатика 5 кл.  Р/т В 2-х ч.  Ч.2. (Бином);Просвещение;978-5-09-079972-0;40;55617649;2021; ;ФГОС;173.8;;165.2
467;55617648;Босова Л.Л., Босова А.Ю.;Босова Информатика 5 кл.  Р/т В 2-х ч. Ч.1.  ФГОС (Бином);Бином;978-5-9963-4517-5;50; ;2019; ;ФГОС;92;;87.4
468;55617649;Босова Л.Л., Босова А.Ю.;Босова Информатика 5 кл.  Р/т В 2-х ч. Ч.2.  ФГОС (Бином);Бином;978-5-9963-4518-2;50; ;2019; ;ФГОС;92;;87.4
469;55629653;Босова Л.Л., Босова А.Ю.;Босова Информатика 5 кл. Учебник (Бином);Бином;978-5-9963-4439-0;18;55601348;2019;ФП;ФГОС;452;;452
470;65658703;Босова Л.Л., Босова А.Ю.;Босова Информатика 5 кл. Учебник (Бином);Просвещение;978-5-09-091925-8;18;55629653;2021-2022;ФП;ФГОС;890.5;;890.5
471;65658708;Босова Л.Л., Босова А.Ю.;Босова Информатика 6 кл.  Р/т В 2-х ч.  Ч.1 (Бином);Просвещение;978-5-09-079974-4;40;55617650;2021; ;ФГОС;173.8;;165.2
472;65658709;Босова Л.Л., Босова А.Ю.;Босова Информатика 6 кл.  Р/т В 2-х ч.  Ч.2 (Бином);Просвещение;978-5-09-079975-1;40;55617651;2021; ;ФГОС;173.8;;165.2
473;55617650;Босова Л.Л., Босова А.Ю.;Босова Информатика 6 кл.  Р/т В 2-х ч. Ч.1.  ФГОС (Бином);Бином;978-5-9963-4520-5;40; ;2019-2020; ;ФГОС;92;;87.4
474;55617651;Босова Л.Л., Босова А.Ю.;Босова Информатика 6 кл.  Р/т В 2-х ч.Ч.2.  ФГОС (Бином);Бином;978-5-9963-4521-2;40; ;2018-2020; ;ФГОС;92;;87.4
475;65658704;Босова Л.Л., Босова А.Ю.;Босова Информатика 6 кл. Учебник (Бином);Просвещение;978-5-09-087811-1;16;55629485;2022;ФП;ФГОС;907.5;;907.5
476;65658710;Босова Л.Л., Босова А.Ю.;Босова Информатика 7 кл.  Р/т В 2-х ч.  Ч.1. (Бином);Просвещение;978-5-09-089278-0;30;55617652;2022; ;ФГОС;173.8;;165.2
477;65658711;Босова Л.Л., Босова А.Ю.;Босова Информатика 7 кл.  Р/т В 2-х ч.  Ч.2. (Бином);Просвещение;978-5-09-089279-7;30;55617653;2022; ;ФГОС;173.8;;165.2
478;55617652;Босова Л.Л., Босова А.Ю.;Босова Информатика 7 кл.  Р/т В 2-х ч. Ч.1.  ФГОС (Бином);Бином;978-5-9963-4865-7;50; ;2019; ;ФГОС;88.8;;88.8
479;55603137;Босова Л.Л., Босова А.Ю.;Босова Информатика 7 кл. Учебник (Бином);Бином;978-5-9963-4441-3;14; ;2018-2019;ФП;ФГОС;452;;452
480;65658705;Босова Л.Л., Босова А.Ю.;Босова Информатика 7 кл. Учебник (Бином);Просвещение;978-5-09-087822-7;16;55603137;2022;ФП;ФГОС;933.9;;933.9
481;65658712;Босова Л.Л., Босова А.Ю.;Босова Информатика 8 кл.  Р/т В 2-х ч.  Ч.1. (Бином);Просвещение;978-5-09-083969-3;200;55617654;2021; ;ФГОС;173.8;;165.2
482;65658713;Босова Л.Л., Босова А.Ю.;Босова Информатика 8 кл.  Р/т В 2-х ч.  Ч.2. (Бином);Просвещение;978-5-09-083971-6;200;55617655;2021; ;ФГОС;173.8;;165.2
483;55617654;Босова Л.Л., Босова А.Ю.;Босова Информатика 8 кл.  Р/т В 2-х ч. Ч.1.  ФГОС (Бином);Бином;978-5-9963-4868-8;50;55588957;2018-2019; ;ФГОС;92;;87.4
484;55617655;Босова Л.Л., Босова А.Ю.;Босова Информатика 8 кл.  Р/т В 2-х ч. Ч.2.  ФГОС (Бином);Бином;978-5-9963-4869-5;50; ;2019; ;ФГОС;92;;87.4
485;65652458;Босова Л.Л., Босова А.Ю.;Босова Информатика 8 кл. Учебник (Бином);Бином;978-5-09-087807-4;18; ;2022;ФП;ФГОС;907.5;;907.5
486;55643969;Босова Л.Л., Аквилянов Н.А., Кочергин И.О., Штепа;Босова Информатика 8-9 кл Начала программирования на языке Python (Бином);Бином;978-5-09-087404-5;30; ;2022; ;ФГОС;255.2;;242.5
487;65658714;Босова Л.Л., Босова А.Ю.;Босова Информатика 9 кл.  Р/т В 2-х ч.  Ч.1. (Бином);Просвещение;978-5-09-083972-3;200;55618406;2021-2022; ;ФГОС;173.8;;165.2
488;65658715;Босова Л.Л., Босова А.Ю.;Босова Информатика 9 кл.  Р/т В 2-х ч.  Ч.2. (Бином);Просвещение;978-5-09-083974-7;200;55618407;2021-2022; ;ФГОС;173.8;;165.2
489;55618406;Босова Л.Л., Босова А.Ю.;Босова Информатика 9 кл.  Р/т В 2-х ч. Ч.1.  ФГОС (Бином);Бином;978-5-9963-4871-8;50;55599592;2019; ;ФГОС;52.8;;52.8
490;55618407;Босова Л.Л., Босова А.Ю.;Босова Информатика 9 кл.  Р/т В 2-х ч. Ч.2.  ФГОС (Бином);Бином;978-5-9963-4872-5;50; ;2019; ;ФГОС;52.8;;52.8
491;55606478;Босова Л.Л., Босова А.Ю.;Босова Информатика 9 кл. Учебник (Бином);Бином;978-5-9963-1167-5;18;55639341;2019;ФП;ФГОС;265.8;;265.8
492;65658702;Босова Л.Л., Босова А.Ю.;Босова Информатика 9 кл. Учебник (Бином);Просвещение;978-5-09-087812-8;16;55606478;2022;ФП;ФГОС;952.1;;952.1
493;55640101;Бунимович Е.А., Кузнецова Л.В., Минаева С.С.;"Бунимович (Сферы) Математика 5 кл. Тетрадь-тренажер (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-088505-8;14;55581017;2021-2022; ;ФГОС;304.2;;289
494;55582193;Сафонова Н.В.;"Бунимович (Сферы) Математика 5 кл. Тетрадь-экзаменатор (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089607-8;20; ;2022; ;ФГОС;240.9;;228.9
495;55630475;Бунимович Е.А., Кузнецова Л.В., Минаева С.С.;Бунимович (Сферы) Математика 5-6 кл. Алгебра 7-9 кл. Раб. программы(ФП2014-18) (Просв.);Просвещение; ;14;55639180;2019; ;ФГОС;166.7;;158.4
496;55639180;Бунимович Е.А., Кузнецова Л.В., Минаева С.С.;"Бунимович (Сферы) Математика 5-6 кл. Алгебра 7-9 кл. Раб. программы(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-072454-8;14;55630475;2019; ;ФГОС;184.3;;175.1
497;55586012;Кузнецова Л.В., Бунимович Е.А., Минаева С.С.;"Бунимович (Сферы) Математика 6 кл. Тетрадь-тренажер (Кузнецова)(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-077929-6;10; ;2020-2021; ; ;304.2;;289
498;55585599;Кузнецова Л.В., Минаева С.С., Рослова Л.О.;"Бунимович (Сферы) Математика 6 кл. Тетрадь-экзаменатор (Кузнецова)(ФП2019 ""ИП"")
 (Просв.)";Просвещение;978-5-09-077531-1;25; ;2021; ; ;240.9;;228.9
499;55585600;Бунимович Е.А., Кузнецова Л.В., Минаева С.С.;"Бунимович (Сферы) Математика, Арифметика, Геометрия 6 кл. Задачник (ФП2019 ""ИП"")
(Просв.)";Просвещение;978-5-09-090094-2;17; ;2021-2022; ;ФГОС;244.2;;232
500;55581018;Бунимович Е.А., Кузнецова Л.В., Минаева С.С.;"Бунимович (Сферы) Математика. Арифметика. Геометрия 5 кл. Задачник(ФП2019 ""ИП"")  (Просв.)";Просвещение;978-5-09-089608-5;18;55639314;2022; ; ;244.2;;232
501;55581019;Бунимович Е.А., Дорофеев Г.В., Суворова С.Б.;Бунимович (Сферы) Математика. Арифметика. Геометрия. 5 класс.. ФГОС (Просв.);Просвещение;978-5-09-036174-3;14; ;2017;ФП;ФГОС;132.66;;132.66
502;65659552;Бунимович Е.А., Дорофеев Г.В., Суворова С.Б.;Бунимович (Сферы) Математика. Арифметика. Геометрия. 5 класс.. ФГОС (Просв.);Просвещение;978-5-09-090915-0;10; ;2022;ФП;ФГОС;789.3;;789.3
503;65667460;Бунимович Е.А., Кузнецова Л.В., Минаева С.С.;Бунимович (Сферы) Математика. Арифметика. Геометрия. 6 класс. ФГОС (Просв.);Просвещение;978-5-09-091530-4;10; ;2022;ФП;ФГОС;789.3;;789.3
504;55610662;Бутузов В. Ф., Прасолов В. В.;Бутузов Геометрия 10кл. Базовый и углублённый уровни. Метод. пособие ФГОС (Просв.);Просвещение/Союз;978-5-09-071008-4;40; ;2019; ;ФГОС;159.9;;159.9
505;65663205;Виленкин Н.Я., Жохов В.И., Чесноков А.С., Александ;Виленкин Математика. 5 класс.  В 2 ч. Ч. 1 (Просв.);Просвещение; ;16; ;2022;ФП; ;558.8;;558.8
506;65663206;Виленкин Н.Я., Жохов В.И., Чесноков А.С., Александ;Виленкин Математика. 5 класс.  В 2 ч. Ч. 2 (Просв.);Просвещение; ;16; ;2022;ФП; ;558.8;;558.8
507;65663207;Виленкин Н.Я., Жохов В.И., Чесноков А.С., Александ;Виленкин Математика. 6 класс.  В 2 ч. Ч. 1 (Просв.);Просвещение;978-5-09-087560-8;15; ;2022;ФП; ;558.8;;558.8
508;65663208;Виленкин Н.Я., Жохов В.И., Чесноков А.С., Александ;Виленкин Математика. 6 класс.  В 2 ч. Ч. 2 (Просв.);Просвещение;978-5-09-087567-7;15; ;2022;ФП; ;558.8;;558.8
509;55556063;Галицкий М.Л., Гольдман А.М., Звавич Л.И.;Галицкий Сб. задач по алгебре 8-9 кл. (Просв.);Просвещение/Союз;978-5-09-088839-4;16; ;2021-2022; ; ;438.9;;417
510;65646472;Дорофеев Г.В., Суворова С.Б., Бунимович Е.А.;"Дорофеев Алгебра 7 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087600-1;14;55602647;2020-2022;ФП; ;703.5;;703.5
511;55606165;Дорофеев Г.В., Суворова С.Б., Бунимович Е.А.;"Дорофеев Алгебра 8 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087749-7;10;55639317;2022;ФП;ФГОС;703.5;;703.5
512;55607618;Дорофеев Г.В., Суворова С.Б., Бунимович Е.А.;"Дорофеев Алгебра 9 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-091841-1;12; ;2021-2022;ФП;ФГОС;703.5;;703.5
513;55556074;Кузнецова Л.В., Минаева С.С., Рослова Л.О.;"Дорофеев Математика 5 кл. Дидактические материалы(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089590-3;36;55630208;2022; ;ФГОС;243.7;;231.5
514;55613053;Бунимович Е.А., Кузнецова Л.В., Рослова Л.О.;"Дорофеев Математика 5 кл. Р/Т в 2-х ч. Ч.1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077160-3;44; ;2021-2022; ;ФГОС;159.5;;151.6
515;55613054;Бунимович Е.А., Кузнецова Л.В., Рослова Л.О.;"Дорофеев Математика 5 кл. Р/Т в 2-х ч. Ч.2 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077161-0;44; ;2021-2022; ;ФГОС;159.5;;151.6
516;65676121;Дорофеев Г.В.,Шарыгин И.Ф.,Суворова С.Б. и др.;Дорофеев Математика 5 кл. Учебник (Просв.);Просвещение;978-5-09-087552-3;16; ;2021-2022;ФП;ФГОС;663.3;;663.3
517;55600171;Дорофеев Г.В.,Шарыгин И.Ф.,Суворова С.Б. и др.;"Дорофеев Математика 5 кл.(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-034613-9;16; ;2019;ФП;ФГОС;390.4;;390.4
518;55602998;Дорофеев Г.В.,Шарыгин И.Ф.,Суворова С.Б. и др.;"Дорофеев Математика 6 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087556-1;14; ;2022;ФП;ФГОС;663.3;;663.3
519;55556073;Кузнецова Л.В., Минаева С.С., Рослова Л.О.;"Дорофеев Математика 6 кл. Дидактические материалы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089592-7;34;55646471;2021-2022; ;ФГОС;243.7;;231.5
520;55639607;Бунимович Е.А., Кузнецова Л.В., Минаева С.С.;"Дорофеев Математика 6 кл. Р/Т (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089591-0;36; ;2022; ;ФГОС;253.6;;240.9
521;55599337;Макарычев Ю.Н., Миндюк Н.Г., Нешков К.И.;"Макарычев Алгебра 7 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-088500-3;14;55607140;2022;ФП;ФГОС;794.2;;794.2
522;55556094;Звавич Л.И., Кузнецова Л.В., Суворова С.Б.;"Макарычев Алгебра 7 кл. Дидактические материалы)(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077278-5;40; ;2021; ; ;261.3;;248.2
523;55556091;Миндюк Н.Г., Шлыкова И.С.;Макарычев Алгебра 7 кл. Метод. рекомендации ФГОС (Просв.);Просвещение;978-5-09-031071-0;30;55556122;2019; ;ФГОС;160.6;;152.6
524;55640106;Миндюк Н.Г., Шлыкова И.С.;"Макарычев Алгебра 7 кл. Р/Т в 2-х ч. ч.1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-091029-3;40;55587720;2021-2022; ;ФГОС;172.2;;163.6
525;55640107;Миндюк Н.Г., Шлыкова И.С.;"Макарычев Алгебра 7 кл. Р/Т в 2-х ч. ч.2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-091030-9;40;55587721;2021; ;ФГОС;172.2;;163.6
526;55583234;Дудницын Ю.П., Кронгауз В.Л.;Макарычев Алгебра 7 кл. Тематич. тесты (Дудницын) (Просв.);Просвещение;5-09-011776-4;52; ;2016; ; ;32.18;;32.18
527;55587343;Миндюк Н.Г.;Макарычев Алгебра 7-9 кл. Раб. программы (Миндюк) (Просв.);Просвещение;978-5-09-057307-8;120; ;2018; ;ФГОС;41.12;;41.12
528;65647240;Макарычев Ю.Н., Миндюк Н.Г., Нешков К.И.;"Макарычев Алгебра 8 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087569-1;16;55556115;2022;ФП;ФГОС;794.2;;794.2
529;55556089;Жохов В.И., Макарычев Ю.Н., Миндюк Н.Г.;"Макарычев Алгебра 8 кл. Дидактические материалы (Жохов) (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-077520-5;32; ;2021; ; ;261.3;;248.2
530;55614132;Миндюк Н.Г., Шлыкова И.С.;"Макарычев Алгебра 8 кл. Р/Т в 2-х ч. ч.1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077914-2;40; ;2021; ;ФГОС;172.2;;163.6
531;55614131;Миндюк Н.Г., Шлыкова И.С.;"Макарычев Алгебра 8 кл. Р/Т в 2-х ч. ч.2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077913-5;40; ;2021; ;ФГОС;172.2;;163.6
532;55556115;Макарычев Ю.Н., Миндюк Н.Г., Нешков К.И.;Макарычев Алгебра 8 кл. Учебник (Просв.);Просвещение; ;14;65647240;2018;ФП;ФГОС;133.22;;133.22
533;55607026;Макарычев Ю.Н.;"Макарычев Алгебра 9 кл (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087572-1;16; ;2022;ФП;ФГОС;794.2;;794.2
534;55556119;Макарычев Ю.Н., Миндюк Н.Г., Крайнева Л.Б.;Макарычев Алгебра 9 кл. Дидактические материалы (Просв.);Просвещение;978-5-09-078555-6;40; ;2021; ; ;261.3;;248.2
535;65671757;Миндюк Н.Г., Шлыкова И.С.;Макарычев Алгебра 9 кл. Р/Т в 2-х ч. Ч.1 (Просв.);Просвещение;978-5-09-078910-3;40; ;2021; ;ФГОС;172.2;;163.6
536;65671758;Миндюк Н.Г., Шлыкова И.С.;Макарычев Алгебра 9 кл. Р/Т в 2-х ч. Ч.2 (Просв.);Просвещение;978-5-09-078912-7;40; ;2021; ;ФГОС;172.2;;163.6
537;55600536;Миндюк Н.Г., Шлыкова И.С.;"Макарычев Алгебра 9 кл. Р/Т в 2-х ч. Ч.2(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-022482-6;40; ;2019-2020; ;ФГОС;33;;33
538;55637221;Макарычев Ю.Н., Миндюк Н.Г., Нешков К.И.;"Макарычев Алгебра. 7 класс. Учебник. Углублённый уровень(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087575-2;14; ;2022;ФП; ;700.2;;700.2
539;55637222;Макарычев Ю.Н., Миндюк Н.Г., Нешков К.И.;"Макарычев Алгебра. 8 класс. Учебник. Углублённый уровень(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087577-6;12; ;2022;ФП; ;700.2;;700.2
540;55637223;Макарычев Ю.Н., Миндюк Н.Г., Нешков К.И.;"Макарычев Алгебра. 9 класс. Учебник. Углублённый уровень(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087578-3;12; ;2021-2022;ФП; ;700.2;;700.2
541;55629801;Мордкович А.Г., Семенов П.В., Александрова Л.А., М;Мордкович Алгебра 8 кл. Учебное пособие (Просв.);Просвещение;978-5-09-063610-0;30; ;2018; ;ФГОС;113.06;;113.06
542;55608415;Никольский С.М., Потапов М.К., Решетников Н.Н.;"Никольский Алгебра 10 кл. Базовый и углублённый уровни. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-071738-0;10;55646230;2019;ФП;ФГОС;579.19;;579.19
543;55608792;Никольский С.М., Потапов М.К., Решетников Н.Н.;"Никольский Алгебра 11 кл. Базовый и углублённый уровни. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087641-4;12;55640153;2019;ФП;ФГОС;487.7;;487.7
544;65681352;Никольский С.М., Потапов М.К., Решетников Н.Н.;"Никольский Алгебра 11 кл. Базовый и углублённый уровни. (ФП2019 ""ИП"") (Просв.)";Просвещение; ;12; ;2022;ФП;ФГОС;900.9;;900.9
545;55556127;Никольский С.М., Потапов М.К., Решетников Н.Н.;Никольский Алгебра 7 кл. ФГОС (Просв.);Просвещение; ;14; ;2018;ФП;ФГОС;122.5;;122.5
546;65672132;Никольский С.М., Потапов М.К., Решетников Н.Н.;Никольский Алгебра 7 кл. ФГОС (Просв.);Просвещение;978-5-09-087628-5;14;55556127;2021-2022;ФП;ФГОС;731;;731
547;55607177;Никольский С.М.;Никольский Алгебра 8 кл. (Просв.);Просвещение; ;14;55640111;2019;ФП;ФГОС;122.55;;122.55
548;55640111;Никольский С.М.;"Никольский Алгебра 8 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087630-8;10;55607177;2021-2022;ФП;ФГОС;731;;731
549;55556129;Никольский С.М., Потапов М.К., Решетников Н.Н.;"Никольский Алгебра 9 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087635-3;14; ;2021-2022;ФП;ФГОС;731;;731
550;55556154;Шарыгин И.Ф.;Никольский Задачи на смекалку Уч. пос. 5-6 кл.  (Просв.);Просвещение/Союз;978-5-09-091492-5;36; ;2020-2022; ; ;236;;224.2
551;55556130;Никольский С.М., Потапов М.К., Решетников Н.Н.;"Никольский Математика 5 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087619-3;14;55598993;2022;ФП;ФГОС;770;;770
552;55556135;Потапов М.К., Шевкин А.В.;"Никольский Математика 5 кл. Дидактические материалы(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-072806-5;80; ;2020; ; ;231;;219.5
553;55597397;Потапов М.К., Шевкин А.В.;"Никольский Математика 5 кл. Р/Т В 2-х ч. Ч.1.(ФП2019 ""ИП"") (Потапов) (Просв.)";Просвещение;978-5-09-090106-2;70;55603448;2021-2022; ;ФГОС;165;;156.8
554;55597398;Потапов М.К., Шевкин А.В.;"Никольский Математика 5 кл. Р/Т В 2-х ч. Ч.2.(ФП2019 ""ИП"") (Потапов) (Просв.)";Просвещение;978-5-09-090107-9;70; ;2021; ;ФГОС;165;;156.8
555;55583229;Чулков П.В., Шершнев Е.Ф., Зарапина О.Ф.;"Никольский Математика 5 кл. Тематич. тесты (ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-088980-3;32; ;2021-2022; ;ФГОС;217.8;;207
556;55640113;Никольский С.М., Потапов М.К., Решетников Н.Н.;"Никольский Математика 6 кл. (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-087625-4;16; ;2021-2022;ФП;ФГОС;770;;770
557;55556136;Потапов М.К., Шевкин А.В.;"Никольский Математика 6 кл. Дидактические материалы (ФП2019 ""ИП"")
 (Просв.)";Просвещение;978-5-09-077289-1;30; ;2021; ;ФГОС;231;;219.5
558;55556138;Потапов М.К., Шевкин А.В.;"Никольский Математика 6 кл. Рабочая тетрадь (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077288-4;36; ;2021-2022; ;ФГОС;240.9;;228.9
559;55584564;Чулков П.В., Шершнев Е.Ф., Зарапина О.Ф.;"Никольский Математика 6 кл. Тематич. тесты (Чулков)(ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-093556-2;28; ;2020-2022; ;ФГОС;217.8;;207
560;55622582;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 10кл. Базовый и углубленный уровни В 2 ч. Ч.1  ФГОС (Бином);Бином;978-5-09-081094-4;12;55623580;2021;ФП;ФГОС;804.7;;804.7
561;55622583;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 10кл. Базовый и углубленный уровни В 2 ч. Ч.2  ФГОС (Бином);Бином;978-5-9963-6363-6;12; ;2021;ФП;ФГОС;514.9;;514.9
562;55622585;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 11кл. Базовый и углубленный уровни (Комплект в 2-х частях) ФГОС (Бином);Бином;978-5-9963-4592-2;6; ;2019;ФП;ФГОС;529.2;;529.2
563;65655676;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 11кл. Базовый и углубленный уровни Часть 1 (комплект в 2-х частях) ФГОС (Бином);Бином;978-5-09-087414-4;8;55622585;2022;ФП;ФГОС;713.9;;713.9
564;65655677;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 11кл. Базовый и углубленный уровни Часть 2 (комплект в 2-х частях) ФГОС (Бином);Бином;978-5-09-087415-1;14;55622585;2022;ФП;ФГОС;713.9;;713.9
565;55635642;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 7кл. Учебник (Комплект в  2-х частях )(Бином);Бином; ;10;65657821;2019;ФП;ФГОС;434.7;;434.7
566;65657821;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 7кл. Учебник (Комплект) Часть 1 (Бином);Бином;978-5-09-087819-7;14;55635642;2022;ФП;ФГОС;586.3;;586.3
567;65657822;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 7кл. Учебник (Комплект) Часть 2 (Бином);Бином;978-5-09-087821-0;14; ;2022;ФП;ФГОС;586.3;;586.3
568;55622578;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 8кл. Учебник ФГОС (Бином);Бином;978-5-9963-4586-1;16; ;2019-2020;ФП;ФГОС;541;;541
569;65681349;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 8кл. Учебник ФГОС (Бином);Просвещение;978-5-09-088584-3;16; ;2022;ФП;ФГОС;920.2;;920.2
570;55635643;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 9кл. Учебник ФГОС (Бином);Бином; ;10; ;2019;ФП;ФГОС;750.8;;750.8
571;65681218;Поляков К.Ю., Еремин Е.А.;Поляков Информатика 9кл. Учебник ФГОС (Бином);Просвещение;978-5-09-087409-0;14; ;2022;ФП;ФГОС;938.3;;938.3
572;55587347;Бурмистрова Т.А.;Программы Сб. раб. программ. Геометрия 7-9 кл.ФГОС (Просв.);Просвещение;978-5-09-052112-3;25; ;2020; ;ФГОС;151.3;;143.8
573;65682388;Семакин И.Г., Хеннер Е.К., Шеина Т.Ю.;Семакин Информатика 10 кл. Базовый уровень ФГОС (Бином);Просвещение; ;8;55603136;2021;ФП;ФГОС;810.2;;810.2
574;55603135;Семакин И.Г., Хеннер Е.К., Шестакова Л.В.;Семакин Информатика 11 кл. Базовый уровень ФГОС (Бином);Бином;978-5-9963-1840-7;16; ;2018-2019;ФП;ФГОС;332.95;;332.95
575;65682709;Семакин И.Г., Хеннер Е.К., Шестакова Л.В.;Семакин Информатика 11 кл. Базовый уровень ФГОС (Бином);Просвещение; ;16;55603135;2022;ФП;ФГОС;770;;770
576;55597335;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестако;Семакин Информатика 7 кл. Базовый курс ФГОС (Бином);Бином; ;14; ;2018-2019;ФП;ФГОС;285.38;;285.38
577;65672069;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестако;Семакин Информатика 7 кл. Базовый курс ФГОС (Бином);Просвещение;978-5-09-090141-3;14;55597335;2021-2022;ФП;ФГОС;770;;770
578;55601769;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестако;Семакин Информатика 8 кл. Базовый курс ФГОС (Бином);Бином;978-5-9963-3279-3;20; ;2018-2019;ФП;ФГОС;299.9;;299.9
579;65682364;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестако;Семакин Информатика 8 кл. Базовый курс ФГОС (Бином);Просвещение;978-5-09-087823-4;20;55601769;2022;ФП;ФГОС;810.2;;810.2
580;55602352;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестако;Семакин Информатика 9 кл. Базовый курс ФГОС (Бином);Бином;978-5-9963-4582-3;16; ;2019;ФП;ФГОС;345.84;;345.84
581;65682365;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестако;Семакин Информатика 9 кл. Базовый курс ФГОС (Бином);Просвещение;978-5-09-087810-4;16;55602352;2022;ФП;ФГОС;933.9;;933.9
582;55622275;Генденштейн Л.Э., Булатова А.А., Корнильев И.Н., К;Генденштейн Физика 7 класс. Учебник (Комплект в 2-х частях) Часть 1(Бином);Просвещение;978-5-09-087888-3;20; ;2021-2022;ФП;ФГОС;625.9;;625.9
583;65671531;Генденштейн Л.Э., Булатова А.А., Корнильев И.Н., К;Генденштейн Физика 7 класс. Учебник (Комплект в 2-х частях) Часть 2(Бином);Просвещение;978-5-09-087891-3;20; ;2022;ФП;ФГОС;625.9;;625.9
584;65671532;Генденштейн Л.Э., Булатова А.А., Корнильев И.Н., К;Генденштейн Физика 8 класс. Учебник (Комплект в 2-х частях) Часть 1(Бином);Просвещение;978-5-09-087417-5;12; ;2022;ФП;ФГОС;723.8;;723.8
