Название товара;Короткое описание товара;Полное описание товара;Скрыт ли товар на сайте?;Артикул;Цена продажи, без учёта скидок;Старая цена;Закупочная цена;Остаток;Ед. измерения;Изображения товара;Короткое SEO описание товара;Полное SEO описание товара;Заголовок страницы товара;Мета-тег keywords;Мета-тег description;URL переменная пути;Описание модификации товара;Идентификатор товара в магазине;Пользовательский идентификатор товара;Изображение модификации товара;Название х-ки товара №1;Значение х-ки товара №1;Название св-ва для модификации товара №1;Значение св-ва для модификации товара №1;Название св-ва для модификации товара №2;Значение св-ва для модификации товара №2
Чудинова Окружающий мир 4кл. Контрольно-диагностические работы. ФГОС (Бином);;;1;978-5-09-094510-3;316,30;0,00;300,50;1,00000;шт;;;;Чудинова Окружающий мир 4кл. Контрольно-диагностические работы. ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-4kl-Kontrolno-diagnosticheskie-raboty-FGOS-Binom;;180029154;55613618;;год выпуска;2021;Автор;Чудинова Е.В. Коханович Д.В.;Издательство;Бином
Чудинова Окружающий мир 3кл. Учебник (Бином);;;1;;827,50;0,00;827,50;1,00000;шт;;;;Чудинова Окружающий мир 3кл. Учебник (Бином);;;Chudinova-Okruzhayushhij-mir-3kl-Uchebnik-Binom-2;;180029153;65681155;;год выпуска;2022;Автор;Чудинова Е.В., Букварёва Е.Н.;Издательство;Просвещение/Союз
Чудинова Окружающий мир 3кл. Учебник (Бином);;;1;978-5-09-090257-1;510,30;0,00;510,30;1,00000;шт;;;;Чудинова Окружающий мир 3кл. Учебник (Бином);;;Chudinova-Okruzhayushhij-mir-3kl-Uchebnik-Binom;;180029152;55636251;;год выпуска;2019;Автор;Чудинова Е.В., Букварёва Е.Н.;Издательство;Бином
Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 2 ФГОС (Бином);;;1;;214,50;0,00;203,80;1,00000;шт;;;;Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 2 ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-3kl-Rabochaya-tetrad-ch-2-FGOS-Binom-2;;180029151;65677618;;год выпуска;2022;Автор;Чудинова Е.В.;Издательство;Просвещение/Союз
Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 2 ФГОС (Бином);;;1;978-5-09-088397-9;171,60;0,00;163,10;1,00000;шт;;;;Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 2 ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-3kl-Rabochaya-tetrad-ch-2-FGOS-Binom;;180029150;55644133;;год выпуска;2019;Автор;Чудинова Е.В.;Издательство;Бином
Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 1 ФГОС (Бином);;;1;;214,50;0,00;203,80;1,00000;шт;;;;Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 1 ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-3kl-Rabochaya-tetrad-ch-1-FGOS-Binom-2;;180029149;65677617;;год выпуска;2022;Автор;Чудинова Е.В.;Издательство;Просвещение/Союз
Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 1 ФГОС (Бином);;;1;978-5-09-088395-5;171,60;0,00;163,10;1,00000;шт;;;;Чудинова Окружающий мир 3кл. Рабочая тетрадь ч. 1 ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-3kl-Rabochaya-tetrad-ch-1-FGOS-Binom;;180029148;55644132;;год выпуска;2019-2022;Автор;Чудинова Е.В.;Издательство;Бином
Чудинова Окружающий мир 3кл. Проверочные работы ФГОС (Бином);;;1;978-5-09-090358-5;204,10;0,00;193,90;1,00000;шт;;;;Чудинова Окружающий мир 3кл. Проверочные работы ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-3kl-Proverochnye-raboty-FGOS-Binom;;180029147;55638817;;год выпуска;2020-2022;Автор;Чудинова Е.В.;Издательство;Бином
Чудинова Окружающий мир 2кл. Учебник ФГОС (Бином);;;1;978-5-09-090352-3;827,50;0,00;827,50;1,00000;шт;;;;Чудинова Окружающий мир 2кл. Учебник ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-2kl-Uchebnik-FGOS-Binom;;180029146;55587572;;год выпуска;2022;Автор;Чудинова Е.В., Букварёва Е.Н.;Издательство;Просвещение/Союз
Чудинова Окружающий мир 2кл. Р/Т ч. 2 ФГОС (Бином);;;1;978-5-09-090356-1;251,90;0,00;239,40;1,00000;шт;;;;Чудинова Окружающий мир 2кл. Р/Т ч. 2 ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-2kl-R-T-ch-2-FGOS-Binom;;180029145;55640282;;год выпуска;2021-2022;Автор;Чудинова Е.В.;Издательство;Бином
